,CampusID,InstitutionID,MedianFamilyIncome,DebtNonCompleter,PredominantDegree,State,FirstGen,IndPerc,LoanPerc,MDEarning10,Control,NetPrice
1197,149505,177100,60686.856329999995,12500.0,3,IL,0.35764375880000004,0.33290653010000004,0.7633,41700.0,2,22798.0
1198,149514,177200,38293.95917,13000.0,3,IL,0.3692762186,0.46313065979999996,0.8886,38100.0,2,20432.0
1199,149532,177300,20598.6749,3500.0,2,IL,0.5188050147,0.4255902192,0.0394,31200.0,1,4971.0
1200,149550,2124400,22317.35446,3938.5,1,IL,0.5635738832,0.5496894410000001,0.4657,19300.0,3,11751.0
1202,149727,693100,26808.09692,3500.0,1,IL,0.5112651646,0.47620175229999995,0.1601,29200.0,1,5936.0
1204,149772,178000,44359.487160000004,7472.0,3,IL,0.38164069829999997,0.19221577329999998,0.6882,41100.0,1,17339.0
1205,149781,178100,80474.86714,8250.0,3,IL,0.0687203791,,0.5055,42500.0,2,22928.0
1206,149842,396100,26895.60777,4927.5,1,IL,0.4692825112,0.4067013287,0.1416,33900.0,1,8156.0
1207,150048,178400,29664.624939999998,6978.0,2,IN,0.5327380952,0.33160621760000003,0.7824,29400.0,2,16853.0
1208,150066,178500,62411.382320000004,10757.5,3,IN,0.31057062679999997,0.20588235289999998,0.726,35600.0,2,22274.0
1210,150136,178600,65181.957610000005,7000.0,3,IN,0.3250714967,0.104705274,0.603,38800.0,1,15184.0
1211,150145,178700,38351.3208,15375.0,3,IN,0.38341968909999996,0.493767977,0.7947,34900.0,2,18257.0
1212,150163,178800,96398.30026,10725.0,3,IN,0.1698236447,0.05092297900000001,0.594,55000.0,2,28344.0
1213,150172,183400,29698.38109,7051.0,3,IN,0.5283446712,0.4261682243,0.6108,38900.0,2,14981.0
1215,150251,2615800,29861.907219999997,15810.0,1,IN,0.4461538462,0.8755555556,0.8736,26300.0,3,12802.0
1217,150303,1150500,21099.63901,4585.0,1,IN,0.4980392157,0.534375,0.6563,18400.0,3,15821.0
1218,150400,179200,75262.09041,7500.0,3,IN,0.2,0.015128593000000001,0.44299999999999995,47700.0,2,23059.0
